,transaction_id,customer_id,Preferred Cusine,age,dish,Qty,price_for_1,number_of_stayers,check_in_date,check_out_date,order_time,booked_through_points
0,3594217,91,South Indian,31,Filter Coffee,2,80,1,2023-08-07 00:00:00,2023-08-10 18:33:11,2023-08-09 03:40:45,0
1,10163344,92,South Indian,21,Chocolate Cake,2,200,2,2023-08-08 00:00:00,2023-08-10 04:10:06,2023-08-08 19:20:37,0
2,12292432,93,North Indian,48,Breakfast thali,1,500,2,2023-11-15 00:00:00,2023-11-17 08:21:37,2023-11-15 14:01:51,1
3,13757710,94,South Indian,25,Roti Curry,3,100,3,2024-03-31 00:00:00,2024-04-03 09:35:00,2024-03-31 11:17:37,0
4,10762656,95,North Indian,22,Filter Coffee,1,80,1,2024-04-08 00:00:00,2024-04-11 02:22:57,2024-04-10 23:00:56,0
5,191055,96,Multi,49,Filter Coffee,2,80,2,2024-02-04 00:00:00,2024-02-05 12:35:30,2024-02-04 20:23:32,0
6,5395979,97,Multi,24,Aloo Paratha,2,200,1,2023-07-11 00:00:00,2023-07-13 09:51:58,2023-07-11 14:17:29,0
7,2218987,98,North Indian,27,Utthappam,3,150,2,2024-08-27 00:00:00,2024-08-30 10:25:05,2024-08-28 07:17:08,0
8,11804825,99,North Indian,51,Masala Chai,1,80,1,2024-12-06 00:00:00,2024-12-08 17:39:10,2024-12-07 07:02:17,0
9,11916146,100,Multi,60,Filter Coffee,2,80,1,2023-02-13 00:00:00,2023-02-17 07:59:13,2023-02-16 00:16:06,0
10,11395050,101,Multi,29,Palak Paneer,1,250,1,2024-04-20 00:00:00,2024-04-21 11:37:28,2024-04-21 04:18:43,0
11,12720243,102,South Indian,35,Idli,3,75,3,2023-11-02 00:00:00,2023-11-05 09:00:13,2023-11-04 02:00:06,0
12,13199201,103,North Indian,23,Filter Coffee,2,80,2,2024-05-24 00:00:00,2024-05-25 20:55:00,2024-05-24 07:36:57,1
13,9829294,104,South Indian,48,South Indian Thali,3,500,3,2024-06-09 00:00:00,2024-06-11 00:29:50,2024-06-09 15:31:34,0
14,13105302,105,South Indian,32,Chocolate Cake,1,200,1,2024-05-20 00:00:00,2024-05-22 02:30:25,2024-05-20 18:56:29,0
15,866748,106,South Indian,43,South Indian Thali,2,500,1,2024-12-15 00:00:00,2024-12-17 13:48:00,2024-12-15 12:30:59,1
16,4656815,107,South Indian,25,Pasta,2,320,1,2024-01-25 00:00:00,2024-01-30 20:27:08,2024-01-27 07:19:31,0
17,9602785,108,South Indian,39,Chinese Noodles,2,300,1,2024-03-02 00:00:00,2024-03-10 06:49:26,2024-03-03 14:24:42,0
